file_name,text
0052-1-cropped.tif,Imagine a vast sheet of paper on which straight Lines Triangles Squares Pentagons Hexagons and other figures instead of remaining fixed in their places move freely about on or in the surface but without the power of rising above or sinking below it very much like shadows only hard and with luminous edges and you will then have a pretty correct notion of my country and countrymen Alas a few years ago I should have said my universe but now my mind has been opened to higher views of things
0052-2-cropped.tif,And fortune on his damned quarrel smiling Show'd like a rebel's whore but all's too weak For brave Nomacs well he deserves that name Disdaining fortune with his brandish'd steel Which smoked with bloody execution Like valour's minion carved out his passage Till he faced the slave
0052-3-cropped.tif,Mail�fterl is an Austrian nickname for the first computer working solely on transistors on the European mainland It was built in 1955 at Vienna University of Technology by Heinz Zemanek The builder plays on a quote on an operating computer If it is not the rapid calculation speed of American models that Whirlwind or Typhoon can achieve it will be enough for a Wiener Mail�fterl The full name is Bin�r dezimaler Volltransistor-- Rechenautomat
0052-4-cropped.tif,When we look to the individuals of the same variety or sub-variety of our older cultivated plants and animals one of the first points which strikes us is that they generally differ much more from each other than do the individuals of any one species or variety in a state of nature
0052-6-cropped.tif,Werd ich zum Augenblicke sagen Verweile doch du bist so sch�n Dann magst du mich in Fesseln schlagen Dann will ich gern zu Grunde gehn Dann mag die Todtenglocke schallen Dann bist du deines Dienstes frey Die Uhr mag stehn der Zeiger fallen Es sey die Zeit f�r mich vorbey
0053-1-cropped.tif,Imagine a vast sheet of paper which straight Lines Triangles Squares Pentagons Hexagons and other figures instead of remaining fixed in their places move freely about on or in the surface but without the power of rising above or sinking below it very much like shadows only hard and with luminous edges and you will then have a pretty correct notion of my country and countrymen Alas a few years ago I should have said my universe but now my mind opened to higher views of things
0053-2-cropped.tif,And fortune on his damned quarrel smiling Show'd like a rebel's whore but all's too weak For brave Nomacs well he deserves that name Disdaining fortune with his brandish'd steel Which smoked with bloody execution Like valour's minion carved out his passage Till he faced the slave
0053-3-cropped.tif,Mail�fterl is an Austrian nickname for the first computer working solely on transistors on the European mainland It was built in 1955 at the Vienna University of Technology by Heinz Zemanek The builder plays on a quote on an operating computer If it is not the rapid calculation speed of American models that Whirlwind or Typhoon can achieve it will be enough for a Wiener Mail�fterl The full name is Bin�r dezimaler Volltransistor-- Rechenautomat
0053-4-cropped.tif,When we look to the individuals of the same variety or sub-variety of our older cultivated plants and animals one of the first points which strikes us is that they generally differ much more from each other than do the individuals of any one species or variety in a state of nature
0053-6-cropped.tif,Werd ich zum Augenblicke sagen Verweile doch du bist so sch�n Dann magst du mich in Fesseln schlagen Dann will ich gern zu Grunde gehn Dann mag die Todtenglocke schallen Dann bist du deines Dienstes frey Die Uhr mag stehn der Zeiger fallen Es sey die Zeit f�r mich vorbey
